Year,SkiWeek,resort,TimeIndex,sin_w,cos_w,Pred_Visitors
2026,1,Charlotte Pass,181,0.40673664307580015,0.9135454576426009,4450
2026,2,Charlotte Pass,182,0.7431448254773941,0.6691306063588582,698
2026,3,Charlotte Pass,183,0.9510565162951535,0.30901699437494745,5459
2026,4,Charlotte Pass,184,0.9945218953682734,-0.104528463,11764
2026,5,Charlotte Pass,185,0.8660254037844387,-0.5,14179
2026,6,Charlotte Pass,186,0.5877852522924732,-0.809016994,11138
2026,7,Charlotte Pass,187,0.20791169081775931,-0.978147601,4966
2026,8,Charlotte Pass,188,-0.207911691,-0.978147601,-288
2026,9,Charlotte Pass,189,-0.587785252,-0.809016994,-1745
2026,10,Charlotte Pass,190,-0.866025404,-0.5,552
2026,11,Charlotte Pass,191,-0.994521895,-0.104528463,4025
2026,12,Charlotte Pass,192,-0.951056516,0.30901699437494723,5672
2026,13,Charlotte Pass,193,-0.743144825,0.6691306063588585,4357
2026,14,Charlotte Pass,194,-0.406736643,0.913545458,1664
2026,15,Charlotte Pass,195,-1.13E-15,1,750
2026,1,Falls Creek,181,0.40673664307580015,0.9135454576426009,22740
2026,2,Falls Creek,182,0.7431448254773941,0.6691306063588582,18988
2026,3,Falls Creek,183,0.9510565162951535,0.30901699437494745,23749
2026,4,Falls Creek,184,0.9945218953682734,-0.104528463,30054
2026,5,Falls Creek,185,0.8660254037844387,-0.5,32469
2026,6,Falls Creek,186,0.5877852522924732,-0.809016994,29428
2026,7,Falls Creek,187,0.20791169081775931,-0.978147601,23257
2026,8,Falls Creek,188,-0.207911691,-0.978147601,18002
2026,9,Falls Creek,189,-0.587785252,-0.809016994,16545
2026,10,Falls Creek,190,-0.866025404,-0.5,18842
2026,11,Falls Creek,191,-0.994521895,-0.104528463,22315
2026,12,Falls Creek,192,-0.951056516,0.30901699437494723,23962
2026,13,Falls Creek,193,-0.743144825,0.6691306063588585,22647
2026,14,Falls Creek,194,-0.406736643,0.913545458,19955
2026,15,Falls Creek,195,-1.13E-15,1,19040
2026,1,Mt. Baw Baw,181,0.40673664307580015,0.9135454576426009,5062
2026,2,Mt. Baw Baw,182,0.7431448254773941,0.6691306063588582,1309
2026,3,Mt. Baw Baw,183,0.9510565162951535,0.30901699437494745,6070
2026,4,Mt. Baw Baw,184,0.9945218953682734,-0.104528463,12376
2026,5,Mt. Baw Baw,185,0.8660254037844387,-0.5,14790
2026,6,Mt. Baw Baw,186,0.5877852522924732,-0.809016994,11749
2026,7,Mt. Baw Baw,187,0.20791169081775931,-0.978147601,5578
2026,8,Mt. Baw Baw,188,-0.207911691,-0.978147601,323
2026,9,Mt. Baw Baw,189,-0.587785252,-0.809016994,-1134
2026,10,Mt. Baw Baw,190,-0.866025404,-0.5,1163
2026,11,Mt. Baw Baw,191,-0.994521895,-0.104528463,4636
2026,12,Mt. Baw Baw,192,-0.951056516,0.30901699437494723,6283
2026,13,Mt. Baw Baw,193,-0.743144825,0.6691306063588585,4968
2026,14,Mt. Baw Baw,194,-0.406736643,0.913545458,2276
2026,15,Mt. Baw Baw,195,-1.13E-15,1,1362
2026,1,Mt. Buller,181,0.40673664307580015,0.9135454576426009,28966
2026,2,Mt. Buller,182,0.7431448254773941,0.6691306063588582,25214
2026,3,Mt. Buller,183,0.9510565162951535,0.30901699437494745,29975
2026,4,Mt. Buller,184,0.9945218953682734,-0.104528463,36281
2026,5,Mt. Buller,185,0.8660254037844387,-0.5,38695
2026,6,Mt. Buller,186,0.5877852522924732,-0.809016994,35654
2026,7,Mt. Buller,187,0.20791169081775931,-0.978147601,29483
2026,8,Mt. Buller,188,-0.207911691,-0.978147601,24228
2026,9,Mt. Buller,189,-0.587785252,-0.809016994,22771
2026,10,Mt. Buller,190,-0.866025404,-0.5,25068
2026,11,Mt. Buller,191,-0.994521895,-0.104528463,28541
2026,12,Mt. Buller,192,-0.951056516,0.30901699437494723,30188
2026,13,Mt. Buller,193,-0.743144825,0.6691306063588585,28873
2026,14,Mt. Buller,194,-0.406736643,0.913545458,26181
2026,15,Mt. Buller,195,-1.13E-15,1,25267
2026,1,Mt. Hotham,181,0.40673664307580015,0.9135454576426009,19546
2026,2,Mt. Hotham,182,0.7431448254773941,0.6691306063588582,15793
2026,3,Mt. Hotham,183,0.9510565162951535,0.30901699437494745,20554
2026,4,Mt. Hotham,184,0.9945218953682734,-0.104528463,26860
2026,5,Mt. Hotham,185,0.8660254037844387,-0.5,29274
2026,6,Mt. Hotham,186,0.5877852522924732,-0.809016994,26233
2026,7,Mt. Hotham,187,0.20791169081775931,-0.978147601,20062
2026,8,Mt. Hotham,188,-0.207911691,-0.978147601,14807
2026,9,Mt. Hotham,189,-0.587785252,-0.809016994,13350
2026,10,Mt. Hotham,190,-0.866025404,-0.5,15648
2026,11,Mt. Hotham,191,-0.994521895,-0.104528463,19121
2026,12,Mt. Hotham,192,-0.951056516,0.30901699437494723,20768
2026,13,Mt. Hotham,193,-0.743144825,0.6691306063588585,19452
2026,14,Mt. Hotham,194,-0.406736643,0.913545458,16760
2026,15,Mt. Hotham,195,-1.13E-15,1,15846
2026,1,Perisher,181,0.40673664307580015,0.9135454576426009,39908
2026,2,Perisher,182,0.7431448254773941,0.6691306063588582,36155
2026,3,Perisher,183,0.9510565162951535,0.30901699437494745,40916
2026,4,Perisher,184,0.9945218953682734,-0.104528463,47222
2026,5,Perisher,185,0.8660254037844387,-0.5,49636
2026,6,Perisher,186,0.5877852522924732,-0.809016994,46595
2026,7,Perisher,187,0.20791169081775931,-0.978147601,40424
2026,8,Perisher,188,-0.207911691,-0.978147601,35169
2026,9,Perisher,189,-0.587785252,-0.809016994,33712
2026,10,Perisher,190,-0.866025404,-0.5,36009
2026,11,Perisher,191,-0.994521895,-0.104528463,39482
2026,12,Perisher,192,-0.951056516,0.30901699437494723,41129
2026,13,Perisher,193,-0.743144825,0.6691306063588585,39814
2026,14,Perisher,194,-0.406736643,0.913545458,37122
2026,15,Perisher,195,-1.13E-15,1,36208
2026,1,Selwyn,181,0.40673664307580015,0.9135454576426009,5150
2026,2,Selwyn,182,0.7431448254773941,0.6691306063588582,1397
2026,3,Selwyn,183,0.9510565162951535,0.30901699437494745,6158
2026,4,Selwyn,184,0.9945218953682734,-0.104528463,12464
2026,5,Selwyn,185,0.8660254037844387,-0.5,14878
2026,6,Selwyn,186,0.5877852522924732,-0.809016994,11837
2026,7,Selwyn,187,0.20791169081775931,-0.978147601,5666
2026,8,Selwyn,188,-0.207911691,-0.978147601,411
2026,9,Selwyn,189,-0.587785252,-0.809016994,-1046
2026,10,Selwyn,190,-0.866025404,-0.5,1252
2026,11,Selwyn,191,-0.994521895,-0.104528463,4725
2026,12,Selwyn,192,-0.951056516,0.30901699437494723,6372
2026,13,Selwyn,193,-0.743144825,0.6691306063588585,5056
2026,14,Selwyn,194,-0.406736643,0.913545458,2364
2026,15,Selwyn,195,-1.13E-15,1,1450
2026,1,Thredbo,181,0.40673664307580015,0.9135454576426009,30090
2026,2,Thredbo,182,0.7431448254773941,0.6691306063588582,26337
2026,3,Thredbo,183,0.9510565162951535,0.30901699437494745,31098
2026,4,Thredbo,184,0.9945218953682734,-0.104528463,37404
2026,5,Thredbo,185,0.8660254037844387,-0.5,39818
2026,6,Thredbo,186,0.5877852522924732,-0.809016994,36777
2026,7,Thredbo,187,0.20791169081775931,-0.978147601,30606
2026,8,Thredbo,188,-0.207911691,-0.978147601,25351
2026,9,Thredbo,189,-0.587785252,-0.809016994,23894
2026,10,Thredbo,190,-0.866025404,-0.5,26191
2026,11,Thredbo,191,-0.994521895,-0.104528463,29664
2026,12,Thredbo,192,-0.951056516,0.30901699437494723,31312
2026,13,Thredbo,193,-0.743144825,0.6691306063588585,29996
2026,14,Thredbo,194,-0.406736643,0.913545458,27304
2026,15,Thredbo,195,-1.13E-15,1,26390
