"Monthly Climate Statistics for 'MOUNT BULLER' [083024]"
"Created on [ 27 Aug 2025 14:49:48 UTC]"

"083024 MOUNT BULLER"
"Commenced: 1948"
"Last Record: 2025"
"Latitude:   37.15 Degrees South"
"Longitude:  146.44 Degrees East"
"Elevation:    1707 m"
"State: VIC"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1985 to 2025 ",17.6,17.1,14.4,10.0,6.1,3.0,1.5,2.1,5.1,8.8,12.3,14.9,9.4,39,1985,2025
"Highest temperature (°C) for years 1985 to 2025 ",30.3,30.7,26.0,21.6,16.5,12.7,15.3,10.8,16.7,21.6,26.1,27.7,30.7,39,1985,2025
"Date of Highest temperature  °C  for years 1985 to 2025 ",31 Jan  2009,07 Feb  2009,07 Mar  2016,12 Apr  1985,01 May  1988,01 Jun  1995,04 Jul  1995,07 Aug  2006,27 Sep  1987,31 Oct  1990,19 Nov  2009,20 Dec  2019,07 Feb  2009,N/A,1985,2025
"Lowest maximum temperature (°C) for years 1985 to 2025 ",0.9,0.9,-0.4,-2.1,-3.9,-4.0,-6.0,-5.1,-6.2,-2.5,-2.6,-0.8,-6.2,39,1985,2025
"Date of Lowest maximum temperature  °C  for years 1985 to 2025 ",11 Jan  2012,03 Feb  2023,08 Mar  1987,28 Apr  2008,31 May  1989,10 Jun  2009,18 Jul  2004,27 Aug  2017,05 Sep  1995,10 Oct  1993,15 Nov  2006,25 Dec  2006,05 Sep  1995,N/A,1985,2025
"Decile 1 maximum temperature (°C) for years 1985 to 2024 ",11.0,12.0,8.1,4.4,1.6,-0.5,-1.3,-1.0,0.0,2.3,5.5,7.5, ,37,1985,2024
"Decile 9 maximum temperature (°C) for years 1985 to 2024 ",23.5,22.1,19.8,14.5,10.4,7.2,4.9,6.4,10.0,14.9,18.5,20.9, ,37,1985,2024
"Mean number of days >= 30 °C for years 1985 to 2025 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1985,2025
"Mean number of days >= 35 °C for years 1985 to 2025 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1985,2025
"Mean number of days >= 40 °C for years 1985 to 2025 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1985,2025
"Mean minimum temperature (°C) for years 1985 to 2025 ",9.1,8.9,6.8,3.7,0.9,-1.4,-2.6,-2.3,-0.6,1.6,4.6,6.5,2.9,39,1985,2025
"Lowest temperature (°C) for years 1985 to 2025 ",-3.5,-2.6,-4.5,-6.9,-6.9,-9.1,-10.2,-8.7,-8.4,-7.6,-5.8,-5.1,-10.2,39,1985,2025
"Date of Lowest temperature  °C  for years 1985 to 2025 ",16 Jan  1990,29 Feb  2008,27 Mar  1991,29 Apr  2009,28 May  1987,01 Jun  1989,26 Jul  1986,23 Aug  2008,07 Sep  1995,15 Oct  1988,16 Nov  2022,28 Dec  1988,26 Jul  1986,N/A,1985,2025
"Highest minimum temperature (°C) for years 1985 to 2025 ",20.2,20.6,17.3,14.3,9.1,5.7,4.8,6.0,11.3,14.0,18.8,19.1,20.6,39,1985,2025
"Date of Highest minimum temperature  °C  for years 1985 to 2025 ",12 Jan  2010,01 Feb  2009,07 Mar  2016,13 Apr  1985,02 May  1988,07 Jun  1994,06 Jul  2022,27 Aug  1994,19 Sep  2023,06 Oct  2015,20 Nov  2009,21 Dec  2019,01 Feb  2009,N/A,1985,2025
