Year,ski_week,resort,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
2026,1,Charlotte Pass,4.055194805194805,-2.311038961,50.55454545454545
2026,2,Charlotte Pass,2.6142857142857143,-3.533766234,32.13636363636363
2026,3,Charlotte Pass,2.314935064935065,-3.893506494,34.53636363636363
2026,4,Charlotte Pass,2.285064935064935,-4.129220779,24.536363636363635
2026,5,Charlotte Pass,1.2123376623376623,-4.126623377,36.56363636363636
2026,6,Charlotte Pass,1.0571428571428572,-4.628571429,31.154545454545453
2026,7,Charlotte Pass,2.1006493506493507,-3.737012987,50.14545454545455
2026,8,Charlotte Pass,2.349350649350649,-3.778571429,38.29090909090909
2026,9,Charlotte Pass,2.0837662337662337,-4.26038961,47.80909090909092
2026,10,Charlotte Pass,2.6084415584415583,-3.373376623,37.57272727272727
2026,11,Charlotte Pass,2.512142857142857,-3.342142857,37.260000000000005
2026,12,Charlotte Pass,3.2714285714285714,-3.871428571,32.15
2026,13,Charlotte Pass,4.876428571428571,-2.558571429,35.989999999999995
2026,14,Charlotte Pass,5.730714285714286,-1.597857143,24.589999999999996
2026,15,Charlotte Pass,5.192142857142857,-1.572857143,40.25
2026,1,Falls Creek,3.6064935064935066,-1.101948052,43.23636363636364
2026,2,Falls Creek,2.085714285714286,-1.94025974,40.52727272727273
2026,3,Falls Creek,1.8974025974025972,-2.527272727,27.87272727272727
2026,4,Falls Creek,1.5324675324675325,-2.87012987,26.727272727272727
2026,5,Falls Creek,0.7285714285714285,-2.611255411,30.727272727272727
2026,6,Falls Creek,0.5942857142857143,-3.742857143,24.636363636363637
2026,7,Falls Creek,1.5464935064935068,-2.485714286,26.50909090909091
2026,8,Falls Creek,1.8485714285714285,-2.447727273,22.70909090909091
2026,9,Falls Creek,1.1457142857142857,-3.091948052,30.145454545454548
2026,10,Falls Creek,1.9426406926406927,-2.208571429,29.454545454545453
2026,11,Falls Creek,2.212142857142857,-2.373095238,39.67999999999999
